AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,Count,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SULZBY, JAMES FREDERICK, JR.",,"JAMES FREDERICK SULZBY, JR.",,1905-1988,,,,,,,":</strong></p>
<p>Banker, business executive, writer. Born:Dec. 24, 1905 in Birmingham. Parents:James Frederick and Anne (Dobbins) Sulzby. Married:Martha Belle Hilton, Nov. 9, 1935. Children:Two. Education:attended Howard College; Birmingham Southern College, A.B.; graduated from American Banking Institute, 1934. Employed by First National Bank of Birmingham, 1929-1943; became president, 1943 of Sulzby Realty Co.; director of National Association of Real Estate Boards, 1952-1956; board member of American Planning and Civic Association, 1953-1963; member Humanities Advisory Council for Auburn University. Received Alabama Library Association Literature Award in 1962; citation from American Association for State and Local History; member of Newcomen Society and Southern History Association. </p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1982; Who's Who in America, 1982. </p>
<p>","(s):</strong></p>
<p>Birmingham as It Was in Jackson County, Alabama. Birmingham, Ala.; Oxmoor Press, 1944. </p><p>Birmingham Sketches from 1872 through 1921. Birmingham, Ala.; Oxmoor Press, 1945. </p><p>Annals of the Southside Baptist Church, Birmingham, Alabama, 1886-1936.   Birmingham, Ala.; Birmingham Printing Co., 1947. </p><p>Historic Alabama Hotels and Resorts. Tuscaloosa, Ala.; University of Alabama Press, 1960. </p>
<p>Arthur W. Smith, a Birmingham Pioneer, 1855-1944. Birmingham, Ala.; Oxmoor Press, 1961. </p>
<p>Blount Springs; Alabama's Foremost Watering Place of Yesteryear. Birmingham, Ala.; s.n.,  1949. </p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUMMERLIN, LEE R.",,LEE R. SUMMERLIN,,1934-2021,,,,,,,":</strong></p>
<p>Chemist, educator. Born:Apr. 15, 1934 in Sumiton, Ala. Married:1958. Children:Four. Education:Samford University, A.B.; Birmingham Southern; University of Maryland, Ph.D. Chemist at Southern Research Institute in Birmingham, 1956-1959; taught at Florida State University, 1959-1971; at University of Georgia, 1971-1977; and at University of Alabama, Birmingham, after 1977. Received James Conant Award from American Chemical Society, 1969; member of American Association for the Advancement of Science, American Chemical Society, American Institute of Chemistry, National Association for Research in Science Teaching, and National Science Teachers Association. </p>
<p>",":</strong></p>
<p>American Men and Women of Science, 1982. </p>
<p>","(s):</strong></p>
<p>Chemistry of Common Substances. Morristown, N.J.; Silver Burdett, 1979. </p><p>Chemistry for the Life Sciences. New York; Random House, 1981. </p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Chemistry. Morristown, N.J.; Silver Burdett, 1978. </p><p>Chemical Activities. Washington, D.C.; American Chemical Society, 1988. </p>
<p>Chemical Demonstrations; A Sourcebook for Teachers. Washington, D.C.; American Chemical  Society, 1988. </p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUMMERSELL, CHARLES GRAYSON",,CHARLES GRAYSON SUMMERSELL,,1908-1987,,,,,,,":</strong></p>
<p>Historian; university professor. Born:Feb. 25, 1908 in Mobile. Parents:Charles F. and Sallie Rebecca Grayson Summersell. Married:Frances Sharpley. Education:University of Alabama, A.B., A.M.; Vanderbilt University, Ph.D. Served in the US Navy, WWII and Korea; attained rank of Commander. Taught at University of Alabama, 1935-1978; chairman History Department, 1954-1971; served on Alabama State Records Commission and Alabama Historical Commission. Member of Naval History Foundation, Southern History Association, Organization of American Historians, and American Association for State and Local History.  The Charles G. Summersell Chair in Southern HIstory at the unIversity was named in his honor.  Died October 9, 1987.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1982.</p>
<p>","(s):</strong></p>
<p>Alabama, a State History. Tuscaloosa, Ala.; Paul R. Malone, 1955.</p>
<p>Alabama History for Schools. Birmingham, Ala.; Colonial Press, 1961.</p>
<p>CSS Alabama; Builder, Captain, and Plans. Tuscaloosa, Ala.; University of Alabama Press, 1985.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Alabama Past and Future. Chicago; Science Research Associates, 1941.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>The Journal of George Townley Fullam, Boarding Officer of the Confederate Sea Raider Alabama. University, Ala.; University of Alabama Press for the Friends of the Mobile Public Library, 1973.</p>
<p><strong>Papers:</strong></p>
<p>The William Stanley Hoole Special Collections Library at the University of Alabama holds an extensive collection of papers and photographs of Charles Grayson Summersell.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUMRALL, RAYMOND OLAND",,RAYMOND OLAND SUMRALL,,1934-2015,,,,,,,":</strong></p>
<p>Educator. Born September 15, 1934. Married:Betty Plott. Children:Two. Married: Malenna Ashenfelter. Education:Louisiana College, B.A.; Southwestern Seminary, B.D.; Ohio State University, M.S.W.; University of Alabama, Ph.D. Taught social work in California, Florida, and Texas; faculty  University of Alabama 1973-2010; taught at Jefferson State Jr. College; directed Birmingham Concentrated Employment Program. Known for his work in the field of youth services and juvenile justice; founded the Youth Services Institute of the School of Social Work at the University of Alabama; served as its director, 1999-2010.  Inducted into the Alabama Social Work Hall of Fame, 2011.</p>
<p>",":</strong></p>
<p>William Stanley Hoole Special Collections, University of Alabama</p>
<p>","(s):</strong></p>
<p>The Educational Park, the Community, School and the Multi-Service Community Center; an Attempt toward Holistic Model Interface. Tuscaloosa, Ala.; University of Alabama Press, 1974.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>The Map Abstract of Trends in Calls for Police Service; Birmingham, Alabama, 1975-1976. University, Ala.; University of Alabama Press, 1976.</p>
<p>The Map Abstract of Crime and Requests for Public Service; Birmingham, Alabama, 1975. University, Ala.; University of Alabama Press, 1976.</p><p>Differential Police Response Strategies. Washington, D.C.; Police Executive Research Forum, 1981.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SWARTZ, MIFFLIN WYATT",,MIFFLIN WYATT SWARTZ,,1874-1964,,,,,,,":</strong></p>
<p>Educator. Born:Oct. 12, 1874 in Winchester, Va. Parents:Edward Pendleton and Laura Bertram (Clowe) Swartz. Married:Gertrude Dora (Hobbs) McBrian, May 22, 1902. Education:University of Virginia, B.A., M.A., Ph.D.; studied at University of Chicago. Taught at Winchester, Va.; Ft. Worth, Tex.; Milwaukee (Wisc.) Academy; and at Millsaps College (Miss.); president of Woman's College of Alabama (now Huntingdon) 1915-1964. Member Southern Association of Colleges and Schools, Pi Kappa Alpha, and Phi Beta Kappa.</p>
<p>",":</strong></p>
<p>Who Was Who in America, Vol. 5; Who's Who of North American Authors; Owen's Dictionary of Alabama Biography.</p>
<p>","(s):</strong></p>
<p>On the Characteristics and Use of the Old in the Dramas of Euripides. Nashville; Publishing House of the M. E. Church, South, 1911. (Previously his Ph.D. thesis at the University of Virginia)</p>
<p>Personal and Dramatic Characteristics of the Old in the Dramas of Euripides. S.l.; s.n., 1910.</p>
<p>Typical Analyses of Latin Verbs. S.l.; s.n., 1906.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SWEET, FRANKLYN HALEY",,FRANKLYN HALEY SWEET,,1916-2001,,,,,,,":</strong></p>
<p>Accountant, educator. Born:Aug. 19, 1916, in Madison, Wisc. Parents:Benjamin Franklin and Camilla (Haley) Sweet. Married:Melba Cameron, Dec. 22, 1936. Children:One. Education:University of Alabama, B.S., M.S.; University of Texas, Ph.D.; became CPA in 1944.  Served in U.S.Navy, WWII. Auditor for Sears, Roebuck in Atlanta, 1938-1942; accountant in Dothan, Ala., 1942-1946; taught at University of Alabama, 1946-1948; Spring Hill College, 1948-1964; Kent State University, 1964-1966; University of South Alabama, professor, 1966-67; interim dean of academic affairs, 1967-68; Dean of Administration, 1968-71; Vice-President for Administration, 1971.  Member American Association of Certified Public Accountants, American Accounting Association, American Society of Certified Public Accountants. Died February 13, 2001.</p>
<p>",":</strong></p>
<p>Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>Strategic Planning; a Conceptual Study. Austin, Tex.; Bureau of Business Research, University of Texas, 1964.</p>
<p><strong>Joint_Publication;</strong></p>
<p>Modern Accounting Principles and Practices: A Professional Handbook.  Prentice-Hall, 1978.</p>


				</div>",,"<p><strong>Contributor:</strong></p>
<p>Accounting Teachers Guide. Cincinnati; Southwestern Pub. Co., 1953.</p>
<p>Principles of Accounting. New York; Pitman, 1959.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TALESE, GAY",https://auburn.app.box.com/file/905731627570,GAY TALESE,,1932-present,,,,,,,";<br />
Journalist; writer. Born Gaetano Talese, Ocean City, New Jersey, February 7, 1932. Parents:Joseph Francis and Catherine Talese. Married Nan Ahearn, June 10, 1959. Children: two. Education: University of Alabama, B.A., 1953.   Staff member New York Times, 1953-65  (began as copy boy and became reporter).  Free lance writer after 1965.  Wrote for Esquire and other journals. Pioneer of the ""new journalism"":  applied the techniques of fiction to non-fiction writing. Member PEN; Authors League of America; National Italian American Foundation.  Best Sports Stories Award from E.P.Dutton, 1967; Christopher Book Award, 1970; Norman Mailer Prize for Distinguished Journalism, 2011.</p>
<p>",";</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>New York: A Serendipiter's Journey.  Harper, 1961.</p><p>The Bridge. Harper, 1964.</p><p>The Overreachers.  Harper, 1965.</p><p>The Kingdom and the Power.  World Publishing Company. 1969.</p>
<p>Fame and Obscurity.  World Publishing, 1970.</p>
<p>Honor Thy Father.  World Publishing, 1971.</p>
<p>Thy Neighbor's Wife.  Doubleday, 1980.</p>
<p>Unto the Sons.  Knopf, 1992.</p>
<p><strong>Joint_Publications;</strong></p>
<p>Writing Creative Nonfiction: The Literature of Reality.  HarperCollins, 1995.</p>


				</div>","<p>A Writer's Life.  Knopf, 2006.</p>","<p><strong>Joint_Editor;</strong></p>
<p>The Best American Essays 1987.  Ticknor and Fields, 1987.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TALLEY, BRETT",,BRETT TALLEY,,1988-present,,,,,,,";</strong></p>
<p>Attorney.  Born:Birmingham, 1981.  Parents: Michael and Sue Talley. Married:Ann Donaldson, August 15, 2015. Education:University of Alabama, B.A.; Harvard Law School, 2007.  Clerk for U. S. District Judge Scott Coogler; worked for Appeals Court Judge Joel Dubina; speechwriter for Mitt Romney presidential campaign, 2012, and for Senator Robert Portman, 2013-2015; Deputy Solicitor General in the Alabama attorney general's office; Deputy Assistant Attorney General, U.S. Justice Department Office of Legal Policy.  Member Tuscaloosa Paranormal Research Group.  Semifinalist for the Horror Writers Association Bram Stoker Award, 2011.</p>
<p>",";</strong></p>
<p>Tuscaloosa News, November 26, 2017.</p>
<p>","(s):</strong></p>
<p><strong>Joint_Publications;</strong></p>
<p>Haunted Tuscaloosa.</p>

				</div>","<p>That Which Should Not Be.  Journalstone, 2011.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TANNER, JOHN THOMAS",,JOHN THOMAS TANNER,,1820-1899,,,,,,,":</strong></p>
<p>Businessman, elected official; political activist. Born:Aug. 25, 1820 in Madison Co., Ala. Parents:Samuel and Margaret Tanner. Married:Susan Owen Wilson, Nov. 26, 1846. Children:Seven. Education:attended school in Athens, Ala. Began his career as a clerk in his father's store in Athens at the age of thirteen; in cotton business in New Orleans and Shreveport, 1842-1847; banker in Athens, 1847-1852; helped found the  North and South Railroad (later L&N) during the Civil War and worked for the railroad for twenty-five years; U.S. revenue collector, 1866-1867; real estate and immigration agent. Mayor of Athens for five consecutive terms. Member of the  Board of Trustees for Athens Female College, 1842-1892; president of the Board, 1880-1892.  Helped organize the Alabama State Temperance Alliance, 1881; served as its chairman and secretary; vice-president of the National Temperance Society.  Nominated 1886 as Prohibition candidate for governor, and in 1888 for vice president. Died June 15, 1899.</p>
<p>",":</strong></p>
<p>Tanner's History of Athens....</p>
<p>Elva Bell McLin, Athens State College: A Definitive History, 1821-1991.  Huntsville:  Athens State College Foundation, 1991.</p>
<p>Sellers, James Benson.  The Prohibition Movement in Alabama, 1702 to 1943.  Chapel Hill:  University of North Carolina Press, 1943.</p>
<p>","(s):</strong></p>
<p>History of Athens, and Incidentally Limestone County, Alabama, 1825-1876. University, Ala.; Confederate Pub. Co., 1978.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARRY, ELLEN",,ELLEN TARRY,,1906-2008,,,,,,,":</strong></p>
<p>Author of children's books; Journalist, educator, social worker, civil rights activist. Born:September 26,1906 in Birmingham. Married. Children:One. Education:attended Alabama State College and Bank Street College Writer's Laboratory in New York City.  Taught at Slater School, Birmingham; columnist, Birmingham Truth [newspaper]; feature writer for Amsterdam News. Served as deputy assistant to the Regional Administrator for Equal Oportunity, Department of Housing and Urban Development. Worked for Friendship House, an interracial justice center in Harlem, and co-founded Friendship House of Chicago.  Died September 23, 2008.</p>
<p>",":</strong></p>
<p>Contemporary Authors, Vol. 73.</p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p><strong>Picture books for children;</strong></p>
<p>Janie Belle. Garden City, N.Y.; Garden City Publishing, 1940.</p><p>Hezekiah Horton. New York; Viking, 1942.</p><p>The Runaway Elephant.  Viking, 1950.</p>
<p>(with Marie Hall Ets). My Dog Rinty.  Viking, 1946; new edition, 1964.</p>
<p><strong>Publications;</strong></p>
<p>Katharine Drexel; Friend of the Neglected. New York; Farrar, Straus, 1958.</p>
<p>Martin de Parres, Saint of the New World. New York; Vision Books, 1963.</p><p>Young Jim; the Early Years of James Weldon Johnson. New York; Dodd, 1967.</p><p>The Third Door; the Autobiography of an American Negro Woman. New York; McKay, 1955; new edition, University of Alabama Press, 1993.</p><p>Pierre Toussaint; Apostle of Old New York.  Pauline Books, 1998.</p>
<p>The Other Toussaint.... Boston; St. Paul Editions, 1981.</p>

				</div>","<p>Saint Katherine Drexel; Friend of the Oppressed.  Pawling Books and Media, 2000.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TATE, ALBERTA HINDS",,ALBERTA HINDS TATE,,1896-1986,,,,,,,":</strong></p>
<p>Music and dance educator. Born: 1896,  Albertville, Ala. Parents:Thomas J. Hinds and Elizabeth C. Hinds. Married:Robert Lee Tate. Education:attended Lulie Compton Seminary [a private girls' school in Birmingham] and Martha Washington College. With sister Gladys Hinds opened in Birmingham the Hinds School of Music, Drama and Dancing; both also worked at Maxwell Field in Montgomery. Died May 1986.</p>
<p>",":</strong></p>
<p>SCRIPSIT.</p>
<p>","(s):</strong></p>
<p>Howdy Soldier! (Letters from the Gal Back Home). New York; M. S. Mill Co., 1944.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TATUM, EDITH BRITTAIN CRENSHAW",,EDITH BRITTAIN CRENSHAW TATUM,,1877-1955,,,,,,,":</strong></p>
<p>Musician, writer. Born:Sept. 2, 1877 in Greenville, Ala. Parents:Edward and Sarah Edith (Brittain) Crenshaw. Married:George Hamlet Tatum, Feb. 21, 1900. Children:One. Education:studied in homes of her father and her aunt; studied voice and piano under William Battenhausen; did further study with German master, Ignaz Maschles.  Died February 13, 1955.</p>
<p>",":</strong></p>
<p>Owen's Dictionary of Alabama Biography, Vol. IV.</p>
<p>","(s):</strong></p>
<p>When the Bugle Called. New York; Neale Pub. Co., 1908.</p><p>Patteran. Atlanta, Ga.; Banner Press, Emory University, 1931.</p><p>The Awakening of Iseult. Atlanta; Oglethorpe University Press, 1933.</p><p>In a Chinese Garden and Other Poems. Dallas, Tex.; Kaleidograph Press, 1937.</p>
<p>Body Servant.  Atlanta: Banner Press, 1940.</p><p>Hills of the Spirit. Dallas, Tex.; Kaleidograph Press, 1945.</p>
<p>Designs for Living. Dallas, Tex.; Kaleidograph Press, 1947.</p><p>Through a Window toward the South. Dallas, Tex.; Kaleidograph Press, 1950.</p>
<p>Orchestra of Space, Wind and Trees. Atlanta, Ga.; Banner Press, Emory University, 1954.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAYLOR, CLEMENT ALLEN",,CLEMENT ALLEN TAYLOR,,1900-unknown,,,,,,,":</strong></p>
<p>Variously employed. Born:in 1900 in Pratt City, Ala. Parents:Belton O'Neil and Minnie Allen Taylor. Married: Violet Lawjeck, May 19, 1926.  At age of 12 worked as miner, later as soda jerk, garage mechanic, singer and actor on Broadway, in vaudeville, and on radio; actor in musical comedy in California in 1930; worked with U.S. Bureau of Engraving; finally became bartender for Childs Restaurant chain.</p>
<p>",":</strong></p>
<p>Birmingham News, June 16, 1954.</p>
<p>","(s):</strong></p>
<p>Diamond in the Coalpit. New York; Vantage Press, 1954.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAYLOR, HANNIS",,HANNIS TAYLOR,,1851-1922,,,,,,,":</strong></p>
<p>Attorney, legal educator, diplomat, writer. Born:Sept. 12, 1851 in New Bern, N. C. Parents:Richard Nixon and Susan (Stevenson) Taylor. Married:Lenora Le Baron, May 8, 1878. Children:Five. Education:attended Lovejoy's School for Boys; the University of North Carolina; studied law in Mobile with firm of Anderson and Bond; admitted to bar, 1869; practiced before Alabama Supreme Court (1872) and U.S. Supreme Court (1885). First position was as solicitor for Baldwin Co., Ala.; served several times as president of Alabama Bar Association; taught law at George Washington University in 1892; minister to Spain during the second Cleveland administration, 1893-1897; special U.S. counsel in the Alaskan Boundary claims case, 1903; before Spanish Treaty Claims Commission, 1904. Received several honorary doctorates. Died December 26, 1922.</p>
<p>",":</strong></p>
<p>Baldwin County Genealogical Trails website.</p>
<p>Owen's Dictionary of Alabama Biography, Vol. IV.</p>
<p>","(s):</strong></p>
<p>The Origin and Growth of the English Constitution. Boston; Houghton Mifflin, 1889.</p><p>The Freedom of the Press. Washington, D.C.; Judd, 1892.</p><p>A Comparative Study of Roman and English Law in the Old World and the New. New Orleans; L. Graham and Son, 1899.</p><p>A Treatise on International Public Law. Chicago; Callaghan and Co., 1901.</p><p>Jurisdiction and Procedure of the Supreme Court of the United States. Rochester; The Lawyer's Co-operative Pub. Co., 1905.</p><p>Legitimate Functions of Judge-Made Law. Richmond; E. Waddey Co., 1905.</p><p>A Memorial in Behalf of the Architect of Our Federal Constitution, Pelatiah Webster of Philadelphia Pennsylvania. Washington, D.C.; Government Printing Office, 1908.</p><p>The Origin and Growth of the American Constitution. Boston; Houghton Mifflin, 1911.</p><p>The Real Authorship of the Constitution of the United States Explained. Washington, D.C.; Government Printing Office, 1912.</p><p>Rule of Treaty Construction. Washington, D.C.; Government Printing Office, 1913.</p><p>Cicero, a Sketch of His Life and Works. Chicago; A.C. McClurg, 1918.</p>
<p>The Constitutional Crisis in Great Britain.... Concord, N.H.; The Rumford Press, 1910.</p>
<p>Due Process of Law and the Equal Protection of the Laws.... Chicago; Callaghan and Co., 1917.</p>
<p>The Science of Jurisprudence.... New York; Macmillan, 1908.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>A collection of the papers of Hannis Taylor is held by the special collections department of the Bounds Law Library at the University of Alabama.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAYLOR, HUGH LEE",,HUGH LEE TAYLOR,,1898-1977,,,,,,,":</strong></p>
<p>Educator. Born:Nov. 11, 1898 in Kelso, Tenn. Parents:James Knox and Mary Jane (Ratliff) Taylor. Married:Ida Pickens Greenhaw on June 5, 1922. Education:attended Florence Normal School; University of Alabama, B.S., M.A. Taught at Hurricane, Ala., 1916-1920, and at Hatton, Ala., 1920-1923; principal in Catherine, Ala., 1923-1926; Pine Hills, 1926-1936; Florala, 1936-1942; superintendent Florala schools, 1936-1942 and of Covington Co. schools, 1942-1943 and after 1944; U.S. Army, 1943-1944. Died August 1977.</p>
<p>",":</strong></p>
<p>Owen's The Story of Alabama, Vol. 4.</p>
<p>","(s):</strong></p>
<p>Some Early Settlers; Lawrence County, Alabama. Northport, Ala.; s.n., 1969.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Some Early Sheltons; Lincoln County, Tennessee. Northport, Ala.; Authors, 1972.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAYLOR, JOSEPH JUDSON",,JOSEPH JUDSON TAYLOR,,1855-1930,,,,,,,":</strong></p>
<p>Clergyman, educator. Born:Nov. 1, 1855 in Henry Co., Va. Parents:Daniel Gray and Martha (King) Taylor. Married:Anna Hinton in 1882. Education:University of Richmond, B.A. , A.M.; attended Southern Baptist Theological Seminary; ordained, 1876. Pastor in Lexington, Ky., 1881-1887; Mobile, 1887-1899; Norfolk, Va., 1899-1903; Knoxville, Tenn., 1907-1915; and Savannah, Ga., 1915-1918; president Georgetown College (Ky.), 1903-1907; vice president Home Mission Board of Southern Baptist Convention, 1884-1887. Awarded several honorary D.D. degrees.  Died January 1930.</p>
<p>",":</strong></p>
<p>Who Was Who in America, Vol. 1.</p>
<p>","(s):</strong></p>
<p>Daniel G. Taylor; a Country Preacher. Louisville, Ky.; Baptist Book Concern, 1893.</p><p>The Sabbatic Question. New York; Fleming H. Revell, 1913.</p><p>The God of War. New York; Fleming and Revell, 1920.</p><p>Radiant Hopefulness. New York; Fleming H. Revell, 1922.</p>
<p>My Lord Christ; a Tribute. New York; George H. Doran, 1926.</p><p>Chinese Missions. New York; W. Neale, 1928.</p

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAYLOR, LILY ROSS",,LILY ROSS TAYLOR,,1886-1969,,,,,,,";</strong></p>
<p>Professor of classics; college administrator. Born:Aug. 12, 1886 in Auburn, Ala. Parents:William Dana and Mary Forte (Ross) Taylor. Education:University of Wisconsin, A.B., 1906; studied at American Academy of Rome; Bryn Mawr, Ph.D., 1912 (Bryn Mawr had one of the first independent departments of archaelogy and was one of the first colleges to award graduate degrees to women in the field). Taught at Bryn Mawr 1908-1909, 1910-1912; at Vassar College, 1912-27; at Bryn Mawr as professor of classics and Dean of the Graduate School, 1927-52. Served with the American Red Cross in Italy 1918-1919 and with OSS in Washington during World War II.  Member American Philological Association (president, 1942), Archaeology Institute of America, American Association of University Women, American Numismatic Society, American Association of University Professors, American Historical Association, Society for Promotion of Roman Studies, and Phi Beta Kappa. Received several honorary doctorates. First woman to be named a Fellow of the American Academy in Rome.  Received the AAUW Achievement Award, 1952, the Award of Merit of the American Philological Association, 1962, and the Gold Medal Cultori di Roma, awarded by the City of Rome, in 1962.  Named professor emerita by Bryn Mawr on her retirement in 1952.  Died November 18, 1969.</p>
<p>",":</strong></p>
<p>Marquis Who's Who Online.</p>
<p>","(s):</strong></p>
<p>Local Cults in Etruria. Rome; American Academy in Rome, 1923.</p><p>The Divinity of the Roman Emperor. Middletown, Conn.; American Philological Association, 1931.</p><p>Party Politics in the Age of Caesar. Berkeley, Calif.; University of California Press, 1949.</p><p>The Voting Districts of the Roman Republic; The Thirty-five Urban and Rural Tribes.  Rome:  American Academy, 1960.</p><p>The Cults of Ostia. Bryn Mawr, Pa.; Bryn Mawr College, 1962.</p>
<p>Roman Voting Assemblies from the Hannibalic War to the Dictatorship of Caesar.  Ann Arbor:  University of Michigan Press, 1966.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>The papers of Lily Ross Taylor are held by the B. Canaday Special Collections Library at Bryn Mawr College.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAYLOR, ROBERT WOODDY",,ROBERT WOODDY TAYLOR,,1902-1999,,,,,,,":</strong></p>
<p>Farmer, agronomist, forest manager. Born:Jan. 19, 1902. Parents:John R. and Dora Wooddy Taylor. Married:Beatrice Sarah Potts. Education:graduated from 7th Dist. Agricultural School in Albertville; Alabama Polytechnic Institute, B.S.  Published articles in Progessive Farmer.  Died May 24, 1999.</p>
<p>",":</strong></p>
<p>SCRIPSIT; Ancestry.com</p>
<p>","(s):</strong></p>
<p>Don't Waste the Juice; Bits of History, Recollections and Comments. Albertville, Ala.; Thompson Printing Co., 1971.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAYLOR, THOMAS JONES",,THOMAS JONES TAYLOR,,1829-1894,,,,,,,":</strong></p>
<p>Educator; elected official. Born:July 2, 1829 in Talladega. Parents:Mai and Ann Johnston (McCartney) Taylor. Married:Lockey Thompson Douglass, December 10, 1850. Children: six.  Commissioned as a captain in Company K, 9th Alabama Infantry, CSA. Captured at Port Hudson, Mississippi, 1863; held as a prisoner of War at Johnson's Island, Ohio. Madison County surveyor, 1858-62 and 1868-71; taught school, 1865-68;  tax assessor; , clerk of county court, 1880-1886; probate judge, 1886-1894. Died November 12, 1894.</p>
<p>",":</strong></p>
<p>""Introduction"" to The Early History of Madison County;  Biographical Dictionary of Southern Authors.</p>
<p>","(s):</strong></p>
<p>The Early History of Madison County and Incidentally of Northern Alabama. Tuscaloosa, Ala.; Confederate Pub. Co., 1976.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>A collection of letters written by Thomas Jones Taylor to his family during his service in the Civil War is held by the Hoole Special Collections Library at the University of Alabama.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEAFORD, RUTH E. ROMINE",,RUTH E. ROMINE TEAFORD,,1927-2016,,,,,,,":</strong></p>
<p>Businesswoman, educator, free-lance writer. Born:Aug. 7, 1927, in Townley, Ala. Parents:Luther N. and Mary (Atkins) Romine. Married:Cecil Files, Oct. 15, 1942. Children:One. Married:Paul Teaford, Dec. 23, 1947. Married:Thomas H. Baker. Education:University of Alabama, B.S., 1968; M.A., 1975.  Employed by Arrow Co., 1960-1964, Paul's Automotive Service, 1964-1974; English teacher and principal in Walker Co. schools after 1968; retired as principal of Oakman High School. Free-lance writer; wrote newspaper articles on local history, beginning in 1979. Won homemaking, art, and service awards; named  Alabama's Favorite Teacher 1980, and Alabama's Teacher of the Year 1982.</p>
<p>",":</strong></p>
<p>Ruth E. Teaford, Jasper, Ala.; Walker County website.</p>
<p>","(s):</strong></p>
<p>Southern Homespun. Huntsville, Ala.; Strode, 1980.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
