AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,County,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHAPPELL, GORDON THOMAS",,Gordon Thomas Chappell,,1911-2002,Birmingham and Tuscaloosa,Jefferson and Tuscaloosa,"Birmingham, Jefferson",,Tuscaloosa,,":</strong></p>
<p>Historian; university professor. Born:September 10, 1911, Birmingham. Parents:Charles Arthur and Clemmie (Fason) Chappell. Married:Winn Ownbey, August 30, 1939. Children:Two. Education:Birmingham-Southern College, A.B., 1935; Vanderbilt University, A.M., 1936, Ph.D. 1941. Taught at Vanderbilt University, Winthrop College, Newberry College; head of the Department of History and Political Science at Huntingdon College after 1945; served as visiting professor of history during summer sessions at the University of Alabama. Contributed articles to historical journals and encyclopedias. Honors:Outstanding Educator of America Award, 1972. Died Feb. 6, 2002.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1978; Library of Alabama Lives; obituary, Huntsville Times, February 9, 2002.</p>
<p>","(s):</strong></p>
<p>Some Patterns of Land Speculation in the Old Southwest.  1949.</p><p>Know Alabama. Tuscaloosa, Ala.; Paul R. Malone, 1955.</p>
<p>Local Historical Societies in Alabama. 1960.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHASE, RICHARD",,Richard Chase,,1904-1988,Huntsville  ,Madison  ,,,,,":</strong></p>
<p>Folklorist, author, editor. Born:February 15, 1904, Huntsville. Parents:Robert Collier and Emma Florence Chase. Education:Antioch College, B.S., 1929. Lecturer on folklore and storyteller of Appalachian folktales. Honors:Southern California Council on Literature award, 1970; honored by the Governor of Virginia, 1972, by the Los Angeles Renaissance Pleasure Faire, 1973,  by the Greater Los Angeles Chapter of Mensa in 1975. Died February 2, 1988.</p>
<p>",":</strong></p>
<p>Who's Who in America online and Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>Jack and the Three Sillies. Boston; Houghton, 1950.</p>
<p>Wicked John and the Devil. Boston; Houghton, 1951.</p>
<p><strong>Compiler:</strong></p>
<p>Hullabaloo, and Other Singing Folk Games. Boston; Houghton, 1949. (also published as Singing Games and Playparty Games. New York; Dover, 1967).</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>American Folk Tales and Songs. New York; New American Library, 1956; reprinted Dover, 1971.</p>
<p>Billy Boy (folk song). San Carlos, Calif.; Golden Gate Junior Books, 1966.</p>
<p>Grandfather Tales. Boston; Houghton, 1943.</p>
<p>The Jack Tales. Boston; Houghton, 1943.</p>
<p>Old Songs and Singing Games. Chapel Hill, N.C.; University of North Carolina Press, 1938.</p>
<p><strong>Editor_Author of Introduction;</strong></p>
<p>Stephen Crane, The Red Badge of Courage.  Houghton, 1960.</p>
<p><strong>Papers;</strong></p>
<p>Papers of Richard Chase are held by the University of Minnesota Children's Literature Research Collection; the East Tennessee State University Library; and the Western North Carolina Library Network.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHASTAIN, ELIJAH DENTON",,Elijah Denton Chastain,,1925-1989,Auburn,Lee,,,Auburn,,":</strong></p>
<p>University professor; economics consultant. Born:September 26, 1925, Pickens, S.C. Parents:Elijah D. and Ida (Hendricks) Chastain. Married:Marian B. Faulker, August 25, 1956. Children:Two. Education:Clemson University, B.S., 1947; Cornell University, M.S., 1948; Purdue University, Ph.D., 1956. U.S. Army, Captain, WWII.  Taught at Virginia Polytechnic Institute, 1949-1956; research assistant at Purdue University, 1954-1956; professor and  director of graduate studies in the School of Business at Auburn University , 1956-89. Editor of the Journal of the Alabama Academy of Science, 1962-1965. Member American Agricultural Economics Association, American Economics Association, Southern Economics Association, Alabama Academy of Science. Died March 24, 1989.</p>
<p>",":</strong></p>
<p>Marquis who's who online.</p>
<p>","(s):</strong></p>
<p>Problem recognition in agriculture, managerial adjustment opportunities.  Auburn Agricultural Experiment Station, 1959.</p><p>Opportunities for profit on your farm.  Auburn Agricultural Experiment Station, 1959.</p><p>Adaptation of corporate organization to family farms.  Auburn Agricultural Experiment Station, 1963.</p>
<p>Father-son farming: Resource accumulation and efficiency aspects of intergenerational family farm business arrangements.  Auburn Agricultural Experiment Station, 1963.</p><p>Production-consumption interrelationships of Alabama farm family businesses.  Auburn Agricultural Experiment Station, 1963.</p>
<p>Farm Business Management. Auburn, Ala.; s.n., 1966.</p>


				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHAVEZ, JUDY TAYLOR",,Judy Taylor Chavez,,1956-unknown,,,,,,,":</strong></p>
<p>Escort; author. Raised in Alabama. Parents:Heyward and Marlyn Taylor. Married at seventeen and separated from her husband at nineteen. Graduated from Oakton High School, Fairfax, Va.; attended Northern Virginia Community College. Worked as a chauffeur, cocktail waitress, and escort. Part owner of Gold Mine Saloon in Panama City. In 1979, lived in the Murray Hills area of New York City.</p>
<p>",":</strong></p>
<p>Newsweek and Time, both dated October 23, 1978, and from Defector's Mistress.</p>
<p>","(s):</strong></p>
<p>Defector's Mistress; the Judy Chavez Story. New York; Dell, 1979.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHENEY, ANNE",,Anne Cheney,,1944-2001,Birmingham,Jefferson,"Birmingham, Jefferson",,Birmingham,,":</strong></p>
<p>University professor; literary scholar . Born:November 1, 1944, Birmingham. Parents:Alan Breck and Billie (Gunter) Cheney. Education:Birmingham Southern College, B.A., 1966; Florida State University, M.A., 1968, Ph.D., 1971. Taught English and American literature at Virginia Polytechnic Institute and State University, 1968-2000.  Member American Culture Association, Modern Language Association, and other professional organizations.  Nominated for Pulitzer Prize for <em>Life and Letters of Jesse Hill Ford. </em> Awarded emeritus status on her retirement from Virginia Tech in 2000.  Died December 17, 2001.</p>
<p>",":</strong></p>
<p>Who's Who of American Women, 1979-1980;  Contemporary Authors online; obituary.</p>
<p>","(s):</strong></p>
<p>""The Changing Status of Women"" (screenplay). Blacksburg, Va.; Virginia Polytechnic Institute and State University, 1974.</p><p>Millay in Greenwich Village. Tuscaloosa, Ala.; University of Alabama Press, 1975.</p>
<p>Lorraine Hansberry. Boston; Twayne, 1982.</p>

				</div>",,"<p><strong>Editor;</strong></p>
<p>'The Burg' and Other Poems.  Lewiston, NY:  Mellen Press, 1998.</p>
<p>Dead Snakes, Cats, and the IRS: Poetry of Rock and Rebellion.  Lewiston, NY: Mellen,  1995.</p>
<p>The Life and Letters of Jesse Hill Ford, Southern Writer.  Mellen, 1996.</p>
<p>Ophelia's Legs and Other Poems.  Blacksburg, VA:  Pochantas Press,1997.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHENEY, CORA",,Cora Cheney,,1916-1999,Birmingham,Jefferson,,,,,":</strong></p>
<p>Author of children's books; Episcopal priest. Born:December 20, 1916, Birmingham. Parents:Franklin C. and Irene (Denny) Cheney. Married:Benjamin Waring Partridge, Jr., September 2, 1939. Children:Four. Education:Florida State College for Women, 1934-1936; University of Georgia, A.B., 1938; Antioch College, M.Ed., 1971.  Author of over twenty books for children.  Ordained as an Episcopal priest, 1999; set up rural parishes in several states, including Florida and Vermont.  Oldest woman to be ordained to the Episcopal priesthood.  Died February 21, 1999.</p>
<p>",":</strong></p>
<p>Who's Who of American Women, 1961-1962, Contemporary Authors online and Something About the Author online</p>
<p>","(s):</strong></p>
<p>Skeleton Cave. New York; Holt, 1954.</p><p>Key of Gold. New York; Holt, 1955.</p><p>Plantation Doll. New York; Holt, 1955.</p><p>Fortune Hill. New York; Holt, 1956.</p><p>The Rocking Chair Buck. New York; Holt, 1956.</p><p>Rumpus on Commodore Hill. New York; Holt, 1957.</p><p>Christmas Tree Hessian. New York; Holt, 1958.</p><p>Doll of Lilac Valley. New York; Knopf, 1959.</p><p>Peg-legged Pirate of Sulu. New York; Knopf, 1960.</p><p>Girl at Jungle's Edge. New York; Knopf, 1962.</p><p>Mystery of the Disappearing Cars. New York; Knopf, 1964.</p><p>Incredible Deborah. New York; Scribner, 1967.</p> <p>Treasures of Lin Li-ti. New York; Hawthorn, 1969.</p><p>Profiles From the Past; an Uncommon History of Vermont. Taftsville, Vt.; Countryman Press, 1976.</p><p>Vermont, the State with a Storybook Past. Brattleboro, Vt.; S. Greene Press, 1976.</p><p>Tales From a Taiwan Kitchen. New York; Dodd, 1976.</p><p>The Case of the Iceland Dogs. New York; Dodd, 1977.</p><p>Crown of the World. New York; Dodd, 1979.</p><p>Alaska. New York; Dodd, 1980.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>China Sea Roundup. New York; Knopf, 1960.</p>
<p>Rendezvous in Singapore. New York; Knopf, 1961.</p>
<p>Underseas!. New York; Coward, 1961.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHERASKIN, EMANUEL",,Emanuel Cheraskin,,1916-2001,"Tuscaloosa, Moundville, and Birmingham","Tuscaloosa, Hale, and Jefferson","Tuscaloosa, Tuscaloosa",,Moundville and Birmingham,,":</strong></p>
<p>Physician; professor of medicine. Born:June 9, 1916, Philadelphia, Pa. Parents:Herman and Celia (Homes) Cheraskin. Married:Caroline Elwood, September 23, 1944. Children:One. Education:St. Joseph's College; Georgetown University; University of Alabama, A.B., 1939, M.A. 1941, D.M.D. 1952; University of Cincinnati, M.D., 1943. Began private practice of medicine in Moundville, Ala., 1947. After 1948 associated with the University of Alabama Medical Center in Birmingham as instructor of anatomy, 1948-1950, assistant professor of physiology, 1950-1952, and as professor of oral medicine after 1953. Has contributed more than 350 articles to dental, medical, nutritional, and educational journals. Honors:Received the Doctor Honoris Causa from the University of Sao Paulo in 1961 and an achievement award from the Angiology Research Foundation in 1968. Died August 3, 2001.</p>
<p>",":</strong></p>
<p>Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>Diagnostic Stomatology. New York; McGraw, 1961.</p><p>Bio-Nutronics; Lower Your Cholesterol in 30 days. New York; Perigee Books, 1986.</p><p>The Vitamin C Controversy; Questions and Solutions. Wichita, Kan.; Bio-Communications, 1988.</p>
<p>Health and Happiness; Simpler, Safe and Sour Siptems and Solutions. Wichita, Kan.; Bio-Communications, 1989.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>The Physiological Foundation of Dental Practice. St. Louis; Mosby, 1951.</p><p>The Physiology of Man. New York; Reinhold, 1954.</p><p>Dynamics of Oral Diagnosis. Chicago; Year Book Pub., 1956.</p><p>Dynamic Anatomy and Physiology. New York; McGraw, 1958.</p><p>Diet and Disease. Emmaus, Pa.; Rodale Books, 1968.</p>
<p>Diet and the Periodontal Patient. Springfield, Ill.; C.C. Thomas, 1970.</p>
<p>New Hope for Incurable Disease. New York; Exposition Press, 1971.</p>
<p>Predictive Medicine. Mountain View, Calif.; Pacific Press Pub. Association, 1973.</p>
<p>Psychodietetics. New York; Stein & Day, 1974.</p>

				</div>",,"<p><strong>Contributor:</strong></p>
<p>Clinical Pedodontics. Philadelphia; Saunders, 1957.</p>
<p>Complete Denture Prosthodontics. New York; McGraw, 1962.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHESNUTT, SAMUEL LEE",,Samuel Lee Chesnutt,,1879-1955,Montevallo and Auburn,Shelby and Lee,,,Montevallo and Auburn,,":</strong></p>
<p>Agricultural scientist; university professor. Born: August 29, 1879,  Hawkins, Tenn. Parents: Robert and Mary Chestnutt.  Married:Emma Brown. Children:Two. Education:University of Tennessee, 1900; Peabody College, M.S. Taught at Concord and Farragut, Tenn. Agriculture teacher at Alabama College in Montevallo for thirteen years; appointed Assistant State Supervisor of Vocational Agriculture, 1918; professor and head of the Agricultural Education Department at Auburn University, 1919-1950. Retired in 1950 and went to Panama for one year as a specialist in agricultural education under the auspices of the Institute of Inter-American Affairs. Died December 6, 1955.</p>
<p>",":</strong></p>
<p>Files at Alabama Department of Archives and History.</p>
<p>","(s):</strong></p>
<p>Teaching Field Crops and Horticulture. Montgomery, Ala.; Brown Pub. Co., 1922.</p><p>The Rural South, Background: Problems: Outlook. Montgomery, Ala.; Dixie Book Co., 1939.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Poultry Production in the South. Danville, Ill.; Interstate, 1943.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHILDERS, JAMES SAXON",https://auburn.app.box.com/file/905741753445,James Saxon Childers,,1899-1965,Birmingham,Jefferson,,,Birmingham,,":</strong></p>
<p>University professor, author, newspaper editor. Born:April 19, 1899, Birmingham. Parents:Hayden Prior and Pattie Undine (Goldwire) Childers. Married:Maurine White. Education:Oberlin College, B.A., 1920; Oxford University, B.A., 1923; M.A., 1927. Military service: Naval Aviation, WWI; U.S.Air Force Intelligence, WWII; retired with rank of colonel. Professor of literature at Birmingham Southern College, 1925-1942; associate editor, Atlanta Journal, 1951-1957; lecturer, U.S. Department of State in the Far and Middle East, 1958-1959;  president of Tupper and Love, Inc., book publishers, after 1959. Honors:Rhodes Scholarship, 1921; Oglethorpe University, Litt.D., 1954; Birmingham Southern College, Litt.D., 1955. World traveller and distinguished collector of rare books.  Died July 17, 1965.</p>
<p>",":</strong></p>
<p>Marquis Who's Who online;  Alabama Librarian, vol. 3.</p>
<p>","(s):</strong></p>
<p>From Siam to Suez. New York; D. Appleton, 1923.</p><p>Histories or Tales of Past Times Told by Mother Goose, with Morals. S.l.; Nonesuch, 1925.</p><p>Robert McAlpine, a Biography. New York; Oxford University Press, 1925.</p><p>The Lives and Works of the Uneducated Poets. Oxford University Press, 1925.</p><p>Hilltop in the Rain. New York; D. Appleton, 1928.</p><p>The Bookshop Mystery. New York; D. Appleton, 1930.</p><p>Through Oriental Gates. New York; D. Appleton, 1930.</p>
<p>God Save the Duke. New York; D. Appleton, 1933.</p><p>In the Deep South. 1936.</p><p>Sailing South American Skies. New York; Farrar, 1936.</p><p>A Novel About a White Man and a Black Man in the Deep South. New York; Farrar, 1936.</p><p>Mumbo Jumbo, Esquire. New York; D. Appleton, 1941.</p><p>Laurel and Straw. New York; D. Appleton, 1941.</p><p>Enemy Outpost. New York; D. Appleton, 1942.</p>
<p>Erskine Ramsay, His Life and Achievements. S.l.; Cartwright and Ewing, 1942.</p><p>War Eagles, the Story of the Eagle Squadron. New York; D. Appleton, 1943.</p>
<p>The Nation on the Flying Trapeze; the United States as the People of the East See Us. New York; D. McKay, 1960.</p>
<p>A Way Home; the Baptists Tell Their Story. Atlanta; Tupper and Love, 1963.</p>
<p><strong>Joint_Publications;</strong></p>
<p>Tomorrow We Reap.  New York: Dial, 1949.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Listen to Leaders in Business. Atlanta; Tupper and Love, 1963.</p>
<p>Listen to Leaders in Law. Atlanta; Tupper and Love, 1963.</p>
<p>Listen to Leaders in Medicine. Atlanta; Tupper and Love, 1963.</p>
<p>Listen to Leaders in Science. Atlanta; Tupper and Love, 1965.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHILDRESS, MARK",https://auburn.app.box.com/file/905742761694,Mark Childress,,1957-present,"Monroeville, Tuscaloosa, and Birmingham","Monroe, Tuscaloosa, and Jefferson","Tuscaloosa, Tuscaloosa",,Birmingham,,":</strong></p>
<p>Journalist; writer.. Born:September 21, 1957, Monroeville. Parents:Roy and Mary Helen (Gillion) Childress. Education:University of Alabama, B.A., 1978. Worked for the Birmingham News, 1977-80; feature editor for Southern Living, 1980-84; regional editor for the Atlanta Journal and Constitution, 1984-85. Book of the Year Selection for Crazy in Alabama; Distinguished Alumni Award, University of Alabama, ; Writer of the Year, Alabama Library Association, 1994.</p>
<p>",":</strong></p>
<p>Anniston Star, November 25, 1984 and Mark Childress, Atlanta, Ga.</p>
<p>","(s):</strong></p>
<p>Joshua and Bigtooth. Boston; Little, Brown, 1992.</p><p>Crazy in Alabama. New York: Ballantine Books, 1993.</p>
<p>Henry Bobbity Is Missing and It's All Billy Bobbity's Fault! Birmingham:  Crane Hill Publishers, 1996.</p>
<p>Joshua and the Big Bad Blue Crabs. Boston:  Little, Brown, 1996.</p><p>World Made of Fire. New York:  Knopf, 1984.</p>
<p>V for Victor. New York; Knopf, 1988.</p><p>Tender. New York; Harmony Books, 1989.</p>

				</div>","<p>One Mississippi.  New York: Little, Brown, 2006.</p><p>Georgia Bottoms. New York:  Little, Brown, 2011.</p>","<p><strong>Contributor:</strong></p>
<p>Home to Jericho. Birmingham, Ala.; Oxmoor House, 1987.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHILTON, CLAUDIUS LYSIAS",,Claudius Lysias Chilton,,1856-1914,Tuskegee and Montgomery,Macon and Montgomery,,,Montgomery,,":</strong></p>
<p>Clergyman; evangelist; hymnodist. Born:April 27, 1856, Tuskegee. Parents:William Parish (Chief Justice of the Alabama Supreme Court) and Elvira Frances (Morgan) Chilton. Married:Mabel Cecilia Pierce, December 3, 1878. Children:Nine. Education:  left school at the age of fifteen after the death of his father. After studying for the ministry he was licensed to preach in July 1877 in the Methodist Episcopal Church at Court Street Church in Montgomery. Left the Methodist Church in 1901 because of a dispute over the use of musical instruments in the church; continued his ministry as a freelance evangelist.  Played many musical instruments and composed hymns and poems.  Died July 28, 1914.</p>
<p>",":</strong></p>
<p>Owen's Story of Alabama.</p>
<p>","(s):</strong></p>
<p>Is This Justice? Montgomery, Ala.; privately printed, 1910.</p><p>Song of the Southland; and Other Poems. Montgomery, Ala.; Paragon Press, 1911.</p>
<p>Memorial Address on John T. Morgan. Montgomery, Ala.; Paragon Press, 1913.</p><p>The Chilton Music for Standard Hymns. New York; s.n., 1923.</p>


				</div>",,"<p><strong>Pamphlets:</strong></p>
<p>Born of God.</p>
<p>Eternal Punishmen.</p>
<p>False Prophet.</p>
<p>How to Pray.</p>
<p>Plain Truth.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>(Pamphlet) The Place of Prayer in Redemption.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHITWOOD, BILLY JAMES",,Billy James Chitwood,,1931-2008,Hunstville,Madison,,,Huntsville,,":</strong></p>
<p>Baptist clergyman.  Born:September 5, 1931, Franklin, Tenn. Parents:Charles Wilbur and Bertha Angeline Chitwood. Married:Jane Knight, April 3, 1954. Children:Two. Education:Belmont College, B.A., 1957; Middle Tennessee State University, M.A., 1961; Luther Rice Seminary, B.D., 1967, Th.D., 1971. Elementary school principal, Franklin County, Tenn.; served in the U.S. Air Force, 1950-1954; ordained a Southern Baptist Minister, 1954; served as pastor of churches in Estill Springs, Gallatin, Flintville, and Nashville (Tenn.), Harvey, (Ill.), and Huntsville (Ala.). Died May 31, 2008.</p>
<p>",":</strong></p>
<p>Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>A Faith That Works; an Inspirational Study of James. Nashville; Broadman, 1969.</p>
<p>What the Church Needs Now; a Plan for Renewal. Old Tappan, N.J.; Revell, 1973.</p><p>Meet the Real Jesus. Nashville; Broadman, 1976.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHITWOOD, MARIE DOWNS",,Marie Downs Chitwood,,1918-1999,Boaz,Marshall,,,,,":</strong></p>
<p>Writer; school librarian. Born:June 20, 1918, Boaz. Parents:Robert Edward and Minnie (Wills) Downs. Married:James William Chitwood, August 20, 1937. Education:Public schools in Alabama.  Died September 1, 1999.</p>
<p>",":</strong></p>
<p>Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>This Passing Night. Grand Rapids, Mich.; Zondervan, 1955.</p><p>Laughter in the House. Grand Rapids, Mich.; Zondervan, 1961.</p><p>After the Storm. Grand Rapids, Mich.; Zondervan, 1964.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHRISTENBERRY, DANIEL PINKNEY",,Daniel Pinkney Christenberry,,1856-1911,,,,,,,":</strong></p>
<p>Professor; college administrator. Born April 27, 1856. Parents: Daniel Asbury and Margaret Rebecca Moore Christenberry.  Married:Annie Hanna, 1893. Children: three.  Education:Southern University, Ph.B., 1887, A.M., 1888. Principal, Greenville Collegiate Institute, 1888-1889; president, Greensboro Female College, 1889-1892; professor of English language and literature, Southern University, after 1892.  Died May 28, 1911.</p>
<p>",":</strong></p>
<p>Semi-Centennial History of the Southern University, 1856-1906 and Greensboro Watchman, December 15, 1960.</p>
<p>","(s):</strong></p>
<p>Masonic Code of Alabama. S.l.; s.n., 1893.</p>
<p>The Semi-Centennial History of the Southern University, 1856-1906. Greensboro, Ala.; D. P. Christenberry, 1908.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHRISTENBERRY, WILLIAM A., JR.",,"William A. Christenberry, Jr.",,1936-2016,Tuscaloosa,Tuscaloosa,"Tuscaloosa, Tuscaloosa",,Tuscaloosa,,":</strong></p>
<p>Photographer, painter, sculptor; teacher of art. Born:November 5, 1936, Tuscaloosa. Parents:William A. and Ruby Willard (Smith) Christenberry. Married: Sandra Deane, 1967.  Children:three. Education:University of Alabama, B.F.A.,1958,  M.A., 1959.  Taught at the University of Alabama, 1959-61; at Memphis State University, 1962-68; at the Corcoran School of Art in Washington, D.C., 1968-2009 .Considered  one of the most important artists of the rural South. Honors:Lyndhurst Foundation prize, 1982; Honorary DFA, Kansas City Art Institute, 1983; Jimmy Ernst Award in Art, American Academy of Arts and Letters, 2010; honorary Doctorate of Humane Letters, University of Alabama, 1998. Awarded the status of professor emeritus on his retirement at the Corcoran School, 2009.  Died November 28, 2016.</p>
<p>",":</strong></p>
<p>William Christenberry, Color Photographs; Marquis Who's Who Online; obituary.</p>
<p>","(s):</strong></p>
<p>Southern Photographs. Millerton, N.Y.; Aperture, 1983.</p>
<p>William Christenberry, Color Photographs; December 21, 1978-February 11, 1979, Corcoran Gallery of Art, Washington, D.C. Washington, D.C.; The Gallery, 1979.</p><p>Washington Art; William Christenberry. Potsdam, N.Y.; Art Gallery, State University College, 1971?</p>

				</div>","<p>Working from Memory. Steidl, 2008.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHRISTIAN, MARIE ROBERTS",,Marie Roberts Christian,,1926-2001,"Bella Mina, Florance, Decatur, and Tuscaloosa","Limestone, Lauderdale, Morgan, and Tuscaloosa","Florance, Lauderdale",,Decatur and Tuscaloosa,,";</strong></p>
<p>Teacher.  Born: May 12, 1926, Belle Mina, Alabama. Parents: Samuel Ward and Althea Tate Washington Roberts.  Married: Dick Christian, January 28, 1967.  Education:Florence State Teachers College,  B.S.; George Peabody College, M.A.; further study at the University of Alabama (earned AA Teaching Certificate).  Taught at Riverside Elementary School in Decatur and Verner Elementary School in Tuscaloosa (1953-1968).  Member American Association of University Women. Died December 24, 2001.</p>
<p>","s;</strong></p>
<p>Threads of Many Colors; obituary</p>
<p>","s; </strong></p>
<p>Threads of Many Colors. Tuscaloosa,  1993.</p>


				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHRISTOPHER, THOMAS WELDON",,Thomas Weldon Christopher,,1917-2002,Tuscaloosa,Tuscaloosa,"Tuscaloosa, Tuscaloosa",,Tuscaloosa,,":</strong></p>
<p>Attorney, professor of law; university administrator. Born:October 8, 1917, Duncan, S.C. Parents:William Arthur and Ruby (Thomas) Christopher. Married:Evelyn Montez Hawkins, October 25, 1950. Children: one. Married:Goldie Wood Gambrell, 1985,  Education:Washington and Lee University, A.B., 1939; University of Alabama, LL.B., 1948; New York University, LL.M., 1950; University of Alabama, J.S.D., 1957. Cross Keys School in Union, S.C., principal, 1939-1941; Lorton School, Va., principal, 1941-1942; Emory University Law School, member of the faculty, 1950-1961, associate dean, 1954-1961; University of North Carolina Law School, professor, 1961-1965; University of New Mexico School of Law, professor and dean, 1965-1971; University of Alabama School of Law, professor and dean, 1971-1988.  Honorary LL. D., University of Alabama, 1987.  Died March 22, 2002.</p>
<p>",":</strong></p>
<p>Who's Who in America online and Directory of American Scholars, 1978.</p>
<p>","(s):</strong></p>
<p>Poems From a Carolina Farm. Prairie City, Ill.; Decker, 1948.</p><p>Georgia Procedure and Practice. Atlanta; Harrison, 1957.</p><p>Constitutional Questions in Food and Drug Law. Chicago; Commerce Clearing House, 1960.</p><p>Cases and Materials on Food and Drug Law. Chicago; Commerce Clearing House, 1966.</p><p>What Happened to Horseshoe Robinson?  A Study of John P. Kennedy's 1835 Novel.  Christopher,  1995.</p>
<p>San-Tuc:  Selected Poems. and Memories.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Special Federal Food and Drug Laws. Chicago; Commerce Clearing House, 1954.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHUNG, CHIN OWYEE",,Chin Owyee Chung,,1938-unknown,Tuscaloosa,Tuscaloosa,,,Tuscaloosa,,":</strong></p>
<p>Political scientist, university professor. Born:May 15, 1938, Kwangju, Chonnam, Korea. Married. Children:Three. Education:Yonsei University, Korea, B.A., 1961; Wisconsin State University, B.S., 1962; University of Kansas, M.A., 1964; University of Nebraska, Ph.D., 1969. Faculty research grant at the University of Alabama, 1971-1972. Research assistant at the University of Kansas, 1963-1964 and at the University of Nebraska, 1967-1969. Assistant professor at California State University at Humboldt, 1969-1970; taught in the political science department at the University of Alabama after 1970. </p>
<p>",":</strong></p>
<p>American Men and Women of Science, 1973. </p>
<p>","(s):</strong></p>
<p>Pyongyang Between Peking and Moscow; North Korea's Involvement in the Sino-Soviet Dispute, 1958-1975. University, Ala.; University of   Alabama Press, 1978. </p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CIRLOT, FELIX LOSSING",,Felix Lossing Cirlot,,1901-1956,Mobile,Mobile,"Mobile, Mobile",,,,":</strong></p>
<p>Episcopal clergyman. Born: August 3, 1901, Mobile. Parents:Felix A. and Annie (Sibley) Cirlot. Education:Graduate of Spring Hill College. Died March 30, 1956.</p>
<p>",":</strong></p>
<p>Files at Alabama Department of Archives and History.</p>
<p>","(s):</strong></p>
<p>The Early Eucharist. London; Society for the Promotion of Christian Knowledge, 1939.</p><p>Apostolic Succession; Is It True? An Historical and Theological Inquiry. El Paso, Tex.; Author, 1945.</p><p>Apostolic Succession and Anglicanism; a Defense of Anglican Orders and Catholicity. Lexington, Ky.; Author, 1946.</p>
<p>Apostolic Succession at the Bar of Modern Scholarship. West Park, N.Y.; Holy Cross Press, 1946.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
